key,num,numz,dynamic_time_warping,cosine_similarity_distance,pearson_correlation,manhattan_distance,euclidean_distance,tanimoto_similarity
CA00336_C,13,44,147.2286,0.4636,-0.0136,2538.185,518.771,0.2955
CA00814_C,13,39,79.8686,0.601,0.2247,1939.5646,442.8716,0.3333
CA00877_C,3,40,249.991,0.0966,-0.4421,3270.7709,634.2586,0.075
LMPR0103160008_C,4,38,158.2002,0.0561,-0.4823,2891.6619,596.0896,0.1053
CA01241_C,21,42,200.7272,0.6753,0.3071,1882.31,491.9733,0.5
CA00655_C,18,44,135.1077,0.6273,0.2609,2118.8819,502.4095,0.4091
LMPR0104030002_C,7,40,107.6829,0.2634,-0.2039,2432.4133,506.4319,0.175
CA01209_C,3,41,189.3989,0.0941,-0.4498,3197.1621,603.9883,0.0732
CA00073_C,15,42,56.9701,0.6018,0.2324,2060.388,465.3008,0.3571
LMPR01070600_C,18,44,42.844,0.6614,0.3256,2001.3779,458.8709,0.4091
CA00355_C,16,46,132.6579,0.558,0.1493,2428.1886,517.9047,0.3478
CA00709_C,17,48,107.132,0.6304,0.2776,2533.612,534.0327,0.3542
LMPR01070566_C,16,45,238.2371,0.5868,0.193,2432.6574,553.3708,0.3556
LMPR01090054_C,9,38,107.1531,0.5386,0.186,2002.1504,464.0862,0.2368
LMPR0104440001_C,5,42,150.2915,0.2631,-0.1688,2660.3429,543.1318,0.119
CA00001_C,11,32,171.592,0.7302,0.511,1271.1035,348.351,0.3438
CA00725_C,17,45,168.2017,0.6282,0.2479,2403.0196,537.0055,0.3778
LMPR0104010039_C,6,41,158.25,0.2583,-0.2062,2757.5218,560.8646,0.1463
LMPR01030046_C,5,37,94.9597,0.047,-0.5342,2603.964,539.2704,0.1351
CA00909_C,18,50,56.1575,0.6093,0.2639,2503.6439,523.3365,0.36
CA00186_C,15,42,138.0179,0.5354,0.0637,2483.9112,548.7903,0.3571
LMPR0103720001_C,3,39,395.2331,0.0252,-0.5496,2828.9621,554.5172,0.0769
CA01030_C,18,56,241.7509,0.5523,0.2133,2852.5385,571.8556,0.3214
LMPR0106140010_C,10,47,197.0222,0.1533,-0.3762,2919.2476,580.9619,0.2128
LMPR0104030029_C,4,43,313.1392,0.0487,-0.5088,3154.3166,600.9944,0.093
CA00248_C,20,44,52.6117,0.6718,0.3258,1952.7975,463.4764,0.4545
CA00012_C,14,42,63.3933,0.576,0.1784,2253.204,496.2718,0.3333
LMPR03070001_C,8,42,70.5928,0.3946,0.0032,2295.6601,484.8653,0.1905
LMPR0102070053_C,3,43,232.8709,0.1076,-0.4736,3277.7218,604.3378,0.0698
LMPR0102090055_C,1,36,590.1653,0.0077,-0.418,2585.7189,535.384,0.0278
CA00227_C,17,44,74.4042,0.6855,0.3683,2009.2789,461.9826,0.3864
LMPR0102090033_C,2,36,305.069,0.0191,-0.4335,2734.0069,571.585,0.0556
LMPR0104050019_C,9,47,191.7684,0.3009,-0.2145,3022.6088,571.0619,0.1915
CA00440_C,17,45,174.8709,0.5632,0.1419,2331.4938,511.9316,0.3778
LMPR0103740001_C,4,38,325.1587,0.0285,-0.5068,2870.9507,581.6484,0.1053
LMPR0104130004_C,5,42,336.7832,0.0432,-0.495,2868.3734,568.8577,0.119
CA01201_C,13,39,203.6887,0.4977,0.0254,2322.268,550.2294,0.3333
CA00763_C,21,45,225.649,0.6661,0.3181,2011.8607,495.1248,0.4667
LMPR0103010004_C,7,36,106.065,0.2305,-0.2603,2434.628,532.0624,0.1944
LMPR0106040005_C,10,49,215.3492,0.2006,-0.2887,3050.9001,604.8168,0.2041
LMPR0103620003_C,6,36,123.2324,0.1885,-0.3457,2479.0438,531.5613,0.1667
LMPR0102120042_C,1,37,565.1036,0.0132,-0.4245,2811.8447,576.9768,0.027
LMPR0102120014_C,3,36,552.658,0.0336,-0.4459,2520.5754,532.672,0.0833
CA00337_C,18,46,94.1891,0.6073,0.2204,2343.9374,496.8594,0.3913
CA00630_C,17,46,76.5792,0.6198,0.2511,2253.1847,488.8148,0.3696
LMPR0104030031_C,6,42,299.7107,0.0647,-0.51,2991.4918,592.9825,0.1429
LMPR01070316_C,20,60,240.5742,0.5355,0.2101,2812.1948,555.6745,0.3333
LMPR01090057_C,15,44,77.389,0.6963,0.4038,1929.4883,444.4326,0.3409
CA00799_C,2,35,288.4158,0.0145,-0.4389,2718.3792,571.9473,0.0571
